state,x,y
Badakhshan,206,238
Badghis,-259,95
Baghlan,84,143
Balkh,-29,214
Bamyan,-22,72
Daykundi,-96,-17
Farah,-351,-107
Faryab,-190,151
Ghazni,13,-48
Ghur,-185,13
Helmand,-252,-247
Herat,-370,29
Jawzjan,-108,228
Kabul,108,41
Kandahar,-138,-245
Kapisa,134,80
Khost,150,-50
Kunar,222,74
Kundoz,71,231
Laghman,169,59
Logar,102,2
Nangarhar,190,20
Nimroz,-357,-239
Nuristan,202,106
Paktika,73,-116
Paktya,118,-29
Panjshir,144,117
Parwan,78,76
Samangan,6,148
Sarepol,-97,127
Takhar,134,215
Uruzgan,-113,-92
Wardak,42,29
Zabul,-44,-136
